proposal_index,usable_slot,old_outcome,new_outcome,replayed,old_runtime_s,new_runtime_s,old_stage_context_s,new_stage_context_s,old_stage_explicit_s,new_stage_explicit_s,new_stage_explicit_prep_s,old_explicit_visible_pixels,new_explicit_visible_pixels,old_side_match,new_side_match,new_metrics_available,new_f_explicit_target,new_f_explicit_actual_lowres,new_explicit_abs_error_lowres,old_realization_attempt_count,new_realization_attempt_count,new_coarse_eval_count,new_fine_eval_count,new_search_winning_stage,new_solver_fail_reason,old_solver_fail_reason,new_context_skipped,new_reject_counts
211,89,accepted,accepted,True,94.5425968170166,109.85441970825195,65.510292,80.631457,20.24691,19.853786,0.212802,829,829,True,True,True,0.326120944012687,0.28,0.04612094401268696,3,3,10,0,target-seed,,,False,"{""score_callback"": 6}"
216,93,expensive_reject,rejected,True,43.482234477996826,15.325283765792847,28.381837,0.001587,13.902446,14.134406,0.019215,0,0,,,False,0.409656798583364,,,6,6,12,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""camera_clearance"": 4, ""candidate_budget_exhausted"": 3, ""score_callback"": 7, ""support"": 1}"
217,93,expensive_reject,rejected,True,65.4227511882782,31.169378519058228,39.862575,0.001359,18.30392,23.671532,0.152888,0,0,,,False,0.22549744870994018,,,17,17,44,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""camera_clearance"": 2, ""candidate_budget_exhausted"": 7, ""collision"": 4, ""score_callback"": 16, ""support"": 22}"
219,93,accepted,accepted,True,277.4955143928528,376.0757598876953,192.507571,271.281356,58.676526,77.373753,0.117189,229,229,True,True,True,0.3255214460816687,0.372972972972973,0.047451526891304274,10,10,29,0,target-seed,,,False,"{""candidate_budget_exhausted"": 5, ""score_callback"": 28}"
222,95,expensive_reject,rejected,True,111.0816707611084,168.06814861297607,27.439108,0.001408,71.555414,156.492118,0.104227,0,0,,,False,0.17982903758551633,,,20,21,60,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""candidate_budget_exhausted"": 9, ""score_callback"": 60}"
225,95,expensive_reject,rejected,True,57.127532958984375,54.804380655288696,14.347241,0.001268,41.574009,53.503109,0.098479,0,0,,,False,0.3945422839274353,,,19,19,44,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""candidate_budget_exhausted"": 10, ""collision"": 5, ""score_callback"": 32, ""support"": 7}"
226,95,expensive_reject,rejected,True,49.963534116744995,25.409873485565186,26.507709,0.001427,13.457113,14.286162,0.110706,0,0,,,False,0.22514819258691687,,,14,14,36,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""camera_clearance"": 16, ""candidate_budget_exhausted"": 5, ""score_callback"": 5, ""support"": 15}"
229,95,expensive_reject,rejected,True,77.88631129264832,91.7277364730835,15.858304,20.884546,47.469411,55.562671,0.198031,1173,1196,True,True,True,0.3952533977702545,0.42436974789915966,0.029116350128905177,9,9,29,0,target-seed,,,False,"{""candidate_budget_exhausted"": 3, ""score_callback"": 24}"
231,95,accepted,accepted,True,36.6462299823761,40.103071212768555,17.828971,19.596069,13.413387,14.692714,0.195371,266,266,True,True,True,0.18618485148677552,0.1694915254237288,0.016693326063046715,2,3,15,0,corner-contact-refine,,,False,"{""collision"": 2, ""score_callback"": 2, ""support"": 1}"
237,99,expensive_reject,rejected,True,68.61353516578674,76.60345816612244,26.191043,0.001626,41.19442,75.308977,0.114091,0,0,,,False,0.39731230282551705,,,20,21,60,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""candidate_budget_exhausted"": 10, ""collision"": 2, ""score_callback"": 50, ""support"": 8}"
238,99,expensive_reject,rejected,True,44.270283460617065,40.23259735107422,13.438514,0.002857,26.593534,36.481112,0.223664,0,0,,,False,0.11961176855591678,,,19,19,44,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""candidate_budget_exhausted"": 9, ""collision"": 2, ""score_callback"": 21, ""support"": 21}"
242,99,expensive_reject,rejected,True,68.60963487625122,72.66754078865051,21.517165,0.00172,44.823221,70.580507,0.220466,0,0,,,False,0.3380639641511566,,,21,21,59,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""candidate_budget_exhausted"": 11, ""collision"": 1, ""score_callback"": 58}"
244,99,accepted,accepted,True,42.92759108543396,26.361574172973633,26.618707,9.302307,10.994022,10.998241,0.202492,2417,2417,True,True,True,0.1919633793643682,0.2111801242236025,0.019216744859234303,2,2,9,0,target-seed,,,False,"{""score_callback"": 3, ""support"": 1}"
