usable_id,frame_id,reproj_max_px,reproj_centroid_px,reproj_consistency_px,K_valid,pose_valid
250,f0250,1.2710574864626038e-13,1.2710574864626038e-13,1.1368683772161603e-13,True,True
251,f0251,1.2710574864626038e-13,0.0,1.1368683772161603e-13,True,True
252,f0252,1.2710574864626038e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
253,f0253,6.355287432313019e-14,0.0,5.684341886080802e-14,True,True
254,f0254,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
255,f0255,6.355287432313019e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
256,f0256,6.355287432313019e-14,6.355287432313019e-14,5.684341886080802e-14,True,True
257,f0257,2.3437142008433856e-13,0.0,2.2737367544323206e-13,True,True
258,f0258,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
259,f0259,8.038873388460929e-14,8.038873388460929e-14,5.684341886080802e-14,True,True
260,f0260,1.1368683772161603e-13,0.0,1.1368683772161603e-13,True,True
261,f0261,8.038873388460929e-14,0.0,5.684341886080802e-14,True,True
262,f0262,1.2710574864626038e-13,0.0,1.1368683772161603e-13,True,True
263,f0263,6.355287432313019e-14,0.0,5.684341886080802e-14,True,True
264,f0264,8.038873388460929e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
265,f0265,4.0194366942304644e-14,4.0194366942304644e-14,2.842170943040401e-14,True,True
266,f0266,1.6077746776921858e-13,0.0,1.1368683772161603e-13,True,True
267,f0267,5.728578676879116e-14,0.0,5.684341886080802e-14,True,True
268,f0268,8.038873388460929e-14,0.0,5.684341886080802e-14,True,True
269,f0269,1.2710574864626038e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
270,f0270,8.038873388460929e-14,0.0,5.684341886080802e-14,True,True
271,f0271,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
272,f0272,8.038873388460929e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
273,f0273,6.355287432313019e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
274,f0274,1.1368683772161603e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
275,f0275,1.1368683772161603e-13,8.038873388460929e-14,1.1368683772161603e-13,True,True
276,f0276,1.1368683772161603e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
277,f0277,5.684341886080802e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
278,f0278,5.859285502108464e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
279,f0279,5.684341886080802e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
280,f0280,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
281,f0281,1.1718571004216928e-13,0.0,1.1368683772161603e-13,True,True
282,f0282,8.038873388460929e-14,0.0,5.684341886080802e-14,True,True
283,f0283,1.1368683772161603e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
284,f0284,1.1368683772161603e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
285,f0285,6.355287432313019e-14,0.0,5.684341886080802e-14,True,True
286,f0286,6.355287432313019e-14,0.0,5.684341886080802e-14,True,True
287,f0287,1.1368683772161603e-13,0.0,1.1368683772161603e-13,True,True
288,f0288,1.1368683772161603e-13,0.0,1.1368683772161603e-13,True,True
289,f0289,1.1368683772161603e-13,0.0,1.1368683772161603e-13,True,True
290,f0290,6.355287432313019e-14,6.355287432313019e-14,5.684341886080802e-14,True,True
291,f0291,6.355287432313019e-14,0.0,5.684341886080802e-14,True,True
292,f0292,1.1368683772161603e-13,0.0,1.1368683772161603e-13,True,True
293,f0293,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
294,f0294,6.355287432313019e-14,0.0,5.684341886080802e-14,True,True
295,f0295,5.684341886080802e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
296,f0296,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
297,f0297,1.1368683772161603e-13,0.0,1.1368683772161603e-13,True,True
298,f0298,1.6077746776921858e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
299,f0299,6.355287432313019e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
